"Fecha","Cta. Cte. en BCRA","Circulante","<NA>"
2021-01-04,729205,1897544,2626749
2021-01-05,724878,1894407,2619285
2021-01-06,767470,1891553,2659023
2021-01-07,795589,1888402,2683991
2021-01-08,688651,1885161,2573812
2021-01-11,713186,1881753,2594939
2021-01-12,722548,1878166,2600714
2021-01-13,784478,1874086,2658564
2021-01-14,762764,1868435,2631199
2021-01-15,736546,1863034,2599580
2021-01-18,705271,1859758,2565029
2021-01-19,715944,1854589,2570533
2021-01-20,752514,1849831,2602345
2021-01-21,760694,1845722,2606416
2021-01-22,776526,1841464,2617990
2021-01-25,783544,1839233,2622777
2021-01-26,763624,1836660,2600284
2021-01-27,728447,1835096,2563543
2021-01-28,759686,1833262,2592948
2021-01-29,650239,1831071,2481310
2021-02-01,773238,1831140,2604378
2021-02-02,775600,1830604,2606204
2021-02-03,779977,1830768,2610745
